cod_dsei,Country or Area,Year,Area,Sex,Age,Record Type,Reliability,Source Year,Value,Value Footnotes
7,ALTO RIO SOLIMÕES,2019,Total,Ambos os sexos,101,Estimado em dados da saúde indígena,Provisório,2020,5,
7,ALTO RIO SOLIMÕES,2019,Total,Ambos os sexos,102,Estimado em dados da saúde indígena,Provisório,2020,4,
7,ALTO RIO SOLIMÕES,2019,Total,Ambos os sexos,103,Estimado em dados da saúde indígena,Provisório,2020,4,
7,ALTO RIO SOLIMÕES,2019,Total,Ambos os sexos,104,Estimado em dados da saúde indígena,Provisório,2020,2,
7,ALTO RIO SOLIMÕES,2019,Total,Ambos os sexos,105,Estimado em dados da saúde indígena,Provisório,2020,1,
7,ALTO RIO SOLIMÕES,2019,Total,Ambos os sexos,106,Estimado em dados da saúde indígena,Provisório,2020,2,
7,ALTO RIO SOLIMÕES,2019,Total,Ambos os sexos,119,Estimado em dados da saúde indígena,Provisório,2020,1,
8,ARAGUAIA,2019,Total,Ambos os sexos,0,Estimado em dados da saúde indígena,Provisório,2020,92,
8,ARAGUAIA,2019,Total,Ambos os sexos,1,Estimado em dados da saúde indígena,Provisório,2020,141,
8,ARAGUAIA,2019,Total,Ambos os sexos,2,Estimado em dados da saúde indígena,Provisório,2020,155,
8,ARAGUAIA,2019,Total,Ambos os sexos,3,Estimado em dados da saúde indígena,Provisório,2020,148,
8,ARAGUAIA,2019,Total,Ambos os sexos,4,Estimado em dados da saúde indígena,Provisório,2020,164,
8,ARAGUAIA,2019,Total,Ambos os sexos,5,Estimado em dados da saúde indígena,Provisório,2020,183,
8,ARAGUAIA,2019,Total,Ambos os sexos,6,Estimado em dados da saúde indígena,Provisório,2020,149,
8,ARAGUAIA,2019,Total,Ambos os sexos,7,Estimado em dados da saúde indígena,Provisório,2020,200,
8,ARAGUAIA,2019,Total,Ambos os sexos,8,Estimado em dados da saúde indígena,Provisório,2020,183,
8,ARAGUAIA,2019,Total,Ambos os sexos,9,Estimado em dados da saúde indígena,Provisório,2020,158,
8,ARAGUAIA,2019,Total,Ambos os sexos,10,Estimado em dados da saúde indígena,Provisório,2020,143,
8,ARAGUAIA,2019,Total,Ambos os sexos,11,Estimado em dados da saúde indígena,Provisório,2020,140,
8,ARAGUAIA,2019,Total,Ambos os sexos,12,Estimado em dados da saúde indígena,Provisório,2020,143,
8,ARAGUAIA,2019,Total,Ambos os sexos,13,Estimado em dados da saúde indígena,Provisório,2020,134,
8,ARAGUAIA,2019,Total,Ambos os sexos,14,Estimado em dados da saúde indígena,Provisório,2020,142,
8,ARAGUAIA,2019,Total,Ambos os sexos,15,Estimado em dados da saúde indígena,Provisório,2020,137,
8,ARAGUAIA,2019,Total,Ambos os sexos,16,Estimado em dados da saúde indígena,Provisório,2020,147,
8,ARAGUAIA,2019,Total,Ambos os sexos,17,Estimado em dados da saúde indígena,Provisório,2020,138,
8,ARAGUAIA,2019,Total,Ambos os sexos,18,Estimado em dados da saúde indígena,Provisório,2020,126,
8,ARAGUAIA,2019,Total,Ambos os sexos,19,Estimado em dados da saúde indígena,Provisório,2020,137,
8,ARAGUAIA,2019,Total,Ambos os sexos,20,Estimado em dados da saúde indígena,Provisório,2020,132,
8,ARAGUAIA,2019,Total,Ambos os sexos,21,Estimado em dados da saúde indígena,Provisório,2020,125,
8,ARAGUAIA,2019,Total,Ambos os sexos,22,Estimado em dados da saúde indígena,Provisório,2020,124,
8,ARAGUAIA,2019,Total,Ambos os sexos,23,Estimado em dados da saúde indígena,Provisório,2020,120,
8,ARAGUAIA,2019,Total,Ambos os sexos,24,Estimado em dados da saúde indígena,Provisório,2020,110,
8,ARAGUAIA,2019,Total,Ambos os sexos,25,Estimado em dados da saúde indígena,Provisório,2020,101,
8,ARAGUAIA,2019,Total,Ambos os sexos,26,Estimado em dados da saúde indígena,Provisório,2020,94,
8,ARAGUAIA,2019,Total,Ambos os sexos,27,Estimado em dados da saúde indígena,Provisório,2020,93,
8,ARAGUAIA,2019,Total,Ambos os sexos,28,Estimado em dados da saúde indígena,Provisório,2020,83,
8,ARAGUAIA,2019,Total,Ambos os sexos,29,Estimado em dados da saúde indígena,Provisório,2020,92,
8,ARAGUAIA,2019,Total,Ambos os sexos,30,Estimado em dados da saúde indígena,Provisório,2020,82,
8,ARAGUAIA,2019,Total,Ambos os sexos,31,Estimado em dados da saúde indígena,Provisório,2020,79,
8,ARAGUAIA,2019,Total,Ambos os sexos,32,Estimado em dados da saúde indígena,Provisório,2020,65,
8,ARAGUAIA,2019,Total,Ambos os sexos,33,Estimado em dados da saúde indígena,Provisório,2020,65,
8,ARAGUAIA,2019,Total,Ambos os sexos,34,Estimado em dados da saúde indígena,Provisório,2020,72,
8,ARAGUAIA,2019,Total,Ambos os sexos,35,Estimado em dados da saúde indígena,Provisório,2020,79,
8,ARAGUAIA,2019,Total,Ambos os sexos,36,Estimado em dados da saúde indígena,Provisório,2020,78,
8,ARAGUAIA,2019,Total,Ambos os sexos,37,Estimado em dados da saúde indígena,Provisório,2020,69,
8,ARAGUAIA,2019,Total,Ambos os sexos,38,Estimado em dados da saúde indígena,Provisório,2020,56,
8,ARAGUAIA,2019,Total,Ambos os sexos,39,Estimado em dados da saúde indígena,Provisório,2020,49,
8,ARAGUAIA,2019,Total,Ambos os sexos,40,Estimado em dados da saúde indígena,Provisório,2020,68,
8,ARAGUAIA,2019,Total,Ambos os sexos,41,Estimado em dados da saúde indígena,Provisório,2020,58,
8,ARAGUAIA,2019,Total,Ambos os sexos,42,Estimado em dados da saúde indígena,Provisório,2020,53,
8,ARAGUAIA,2019,Total,Ambos os sexos,43,Estimado em dados da saúde indígena,Provisório,2020,35,
8,ARAGUAIA,2019,Total,Ambos os sexos,44,Estimado em dados da saúde indígena,Provisório,2020,66,
8,ARAGUAIA,2019,Total,Ambos os sexos,45,Estimado em dados da saúde indígena,Provisório,2020,57,
8,ARAGUAIA,2019,Total,Ambos os sexos,46,Estimado em dados da saúde indígena,Provisório,2020,40,
8,ARAGUAIA,2019,Total,Ambos os sexos,47,Estimado em dados da saúde indígena,Provisório,2020,42,
8,ARAGUAIA,2019,Total,Ambos os sexos,48,Estimado em dados da saúde indígena,Provisório,2020,36,
8,ARAGUAIA,2019,Total,Ambos os sexos,49,Estimado em dados da saúde indígena,Provisório,2020,50,
8,ARAGUAIA,2019,Total,Ambos os sexos,50,Estimado em dados da saúde indígena,Provisório,2020,44,
8,ARAGUAIA,2019,Total,Ambos os sexos,51,Estimado em dados da saúde indígena,Provisório,2020,27,
8,ARAGUAIA,2019,Total,Ambos os sexos,52,Estimado em dados da saúde indígena,Provisório,2020,30,
8,ARAGUAIA,2019,Total,Ambos os sexos,53,Estimado em dados da saúde indígena,Provisório,2020,29,
8,ARAGUAIA,2019,Total,Ambos os sexos,54,Estimado em dados da saúde indígena,Provisório,2020,24,
8,ARAGUAIA,2019,Total,Ambos os sexos,55,Estimado em dados da saúde indígena,Provisório,2020,23,
8,ARAGUAIA,2019,Total,Ambos os sexos,56,Estimado em dados da saúde indígena,Provisório,2020,33,
8,ARAGUAIA,2019,Total,Ambos os sexos,57,Estimado em dados da saúde indígena,Provisório,2020,20,
8,ARAGUAIA,2019,Total,Ambos os sexos,58,Estimado em dados da saúde indígena,Provisório,2020,18,
8,ARAGUAIA,2019,Total,Ambos os sexos,59,Estimado em dados da saúde indígena,Provisório,2020,20,
8,ARAGUAIA,2019,Total,Ambos os sexos,60,Estimado em dados da saúde indígena,Provisório,2020,14,
8,ARAGUAIA,2019,Total,Ambos os sexos,61,Estimado em dados da saúde indígena,Provisório,2020,16,
8,ARAGUAIA,2019,Total,Ambos os sexos,62,Estimado em dados da saúde indígena,Provisório,2020,17,
8,ARAGUAIA,2019,Total,Ambos os sexos,63,Estimado em dados da saúde indígena,Provisório,2020,17,
8,ARAGUAIA,2019,Total,Ambos os sexos,64,Estimado em dados da saúde indígena,Provisório,2020,15,
8,ARAGUAIA,2019,Total,Ambos os sexos,65,Estimado em dados da saúde indígena,Provisório,2020,12,
8,ARAGUAIA,2019,Total,Ambos os sexos,66,Estimado em dados da saúde indígena,Provisório,2020,13,
8,ARAGUAIA,2019,Total,Ambos os sexos,67,Estimado em dados da saúde indígena,Provisório,2020,9,
8,ARAGUAIA,2019,Total,Ambos os sexos,68,Estimado em dados da saúde indígena,Provisório,2020,17,
8,ARAGUAIA,2019,Total,Ambos os sexos,69,Estimado em dados da saúde indígena,Provisório,2020,10,
8,ARAGUAIA,2019,Total,Ambos os sexos,70,Estimado em dados da saúde indígena,Provisório,2020,9,
8,ARAGUAIA,2019,Total,Ambos os sexos,71,Estimado em dados da saúde indígena,Provisório,2020,10,
8,ARAGUAIA,2019,Total,Ambos os sexos,72,Estimado em dados da saúde indígena,Provisório,2020,8,
8,ARAGUAIA,2019,Total,Ambos os sexos,73,Estimado em dados da saúde indígena,Provisório,2020,9,
8,ARAGUAIA,2019,Total,Ambos os sexos,74,Estimado em dados da saúde indígena,Provisório,2020,8,
8,ARAGUAIA,2019,Total,Ambos os sexos,75,Estimado em dados da saúde indígena,Provisório,2020,11,
8,ARAGUAIA,2019,Total,Ambos os sexos,76,Estimado em dados da saúde indígena,Provisório,2020,18,
8,ARAGUAIA,2019,Total,Ambos os sexos,77,Estimado em dados da saúde indígena,Provisório,2020,12,
8,ARAGUAIA,2019,Total,Ambos os sexos,78,Estimado em dados da saúde indígena,Provisório,2020,8,
8,ARAGUAIA,2019,Total,Ambos os sexos,79,Estimado em dados da saúde indígena,Provisório,2020,13,
8,ARAGUAIA,2019,Total,Ambos os sexos,80,Estimado em dados da saúde indígena,Provisório,2020,12,
8,ARAGUAIA,2019,Total,Ambos os sexos,81,Estimado em dados da saúde indígena,Provisório,2020,9,
8,ARAGUAIA,2019,Total,Ambos os sexos,82,Estimado em dados da saúde indígena,Provisório,2020,12,
8,ARAGUAIA,2019,Total,Ambos os sexos,83,Estimado em dados da saúde indígena,Provisório,2020,9,
8,ARAGUAIA,2019,Total,Ambos os sexos,84,Estimado em dados da saúde indígena,Provisório,2020,9,
8,ARAGUAIA,2019,Total,Ambos os sexos,85,Estimado em dados da saúde indígena,Provisório,2020,14,
8,ARAGUAIA,2019,Total,Ambos os sexos,86,Estimado em dados da saúde indígena,Provisório,2020,8,
8,ARAGUAIA,2019,Total,Ambos os sexos,87,Estimado em dados da saúde indígena,Provisório,2020,3,
8,ARAGUAIA,2019,Total,Ambos os sexos,88,Estimado em dados da saúde indígena,Provisório,2020,1,
8,ARAGUAIA,2019,Total,Ambos os sexos,89,Estimado em dados da saúde indígena,Provisório,2020,7,
8,ARAGUAIA,2019,Total,Ambos os sexos,90,Estimado em dados da saúde indígena,Provisório,2020,3,
8,ARAGUAIA,2019,Total,Ambos os sexos,91,Estimado em dados da saúde indígena,Provisório,2020,1,
8,ARAGUAIA,2019,Total,Ambos os sexos,94,Estimado em dados da saúde indígena,Provisório,2020,4,
8,ARAGUAIA,2019,Total,Ambos os sexos,95,Estimado em dados da saúde indígena,Provisório,2020,4,
8,ARAGUAIA,2019,Total,Ambos os sexos,96,Estimado em dados da saúde indígena,Provisório,2020,1,
8,ARAGUAIA,2019,Total,Ambos os sexos,98,Estimado em dados da saúde indígena,Provisório,2020,1,
8,ARAGUAIA,2019,Total,Ambos os sexos,99,Estimado em dados da saúde indígena,Provisório,2020,1,
8,ARAGUAIA,2019,Total,Ambos os sexos,102,Estimado em dados da saúde indígena,Provisório,2020,1,
9,BAHIA,2019,Total,Ambos os sexos,0,Estimado em dados da saúde indígena,Provisório,2020,336,
9,BAHIA,2019,Total,Ambos os sexos,1,Estimado em dados da saúde indígena,Provisório,2020,414,
9,BAHIA,2019,Total,Ambos os sexos,2,Estimado em dados da saúde indígena,Provisório,2020,428,
9,BAHIA,2019,Total,Ambos os sexos,3,Estimado em dados da saúde indígena,Provisório,2020,383,
9,BAHIA,2019,Total,Ambos os sexos,4,Estimado em dados da saúde indígena,Provisório,2020,384,
9,BAHIA,2019,Total,Ambos os sexos,5,Estimado em dados da saúde indígena,Provisório,2020,425,
9,BAHIA,2019,Total,Ambos os sexos,6,Estimado em dados da saúde indígena,Provisório,2020,394,
9,BAHIA,2019,Total,Ambos os sexos,7,Estimado em dados da saúde indígena,Provisório,2020,530,
9,BAHIA,2019,Total,Ambos os sexos,8,Estimado em dados da saúde indígena,Provisório,2020,683,
9,BAHIA,2019,Total,Ambos os sexos,9,Estimado em dados da saúde indígena,Provisório,2020,691,
9,BAHIA,2019,Total,Ambos os sexos,10,Estimado em dados da saúde indígena,Provisório,2020,727,
9,BAHIA,2019,Total,Ambos os sexos,11,Estimado em dados da saúde indígena,Provisório,2020,782,
9,BAHIA,2019,Total,Ambos os sexos,12,Estimado em dados da saúde indígena,Provisório,2020,772,
9,BAHIA,2019,Total,Ambos os sexos,13,Estimado em dados da saúde indígena,Provisório,2020,753,
9,BAHIA,2019,Total,Ambos os sexos,14,Estimado em dados da saúde indígena,Provisório,2020,834,
9,BAHIA,2019,Total,Ambos os sexos,15,Estimado em dados da saúde indígena,Provisório,2020,778,
9,BAHIA,2019,Total,Ambos os sexos,16,Estimado em dados da saúde indígena,Provisório,2020,754,
9,BAHIA,2019,Total,Ambos os sexos,17,Estimado em dados da saúde indígena,Provisório,2020,802,
9,BAHIA,2019,Total,Ambos os sexos,18,Estimado em dados da saúde indígena,Provisório,2020,748,
9,BAHIA,2019,Total,Ambos os sexos,19,Estimado em dados da saúde indígena,Provisório,2020,781,
9,BAHIA,2019,Total,Ambos os sexos,20,Estimado em dados da saúde indígena,Provisório,2020,739,
9,BAHIA,2019,Total,Ambos os sexos,21,Estimado em dados da saúde indígena,Provisório,2020,730,
9,BAHIA,2019,Total,Ambos os sexos,22,Estimado em dados da saúde indígena,Provisório,2020,732,
9,BAHIA,2019,Total,Ambos os sexos,23,Estimado em dados da saúde indígena,Provisório,2020,707,
9,BAHIA,2019,Total,Ambos os sexos,24,Estimado em dados da saúde indígena,Provisório,2020,630,
9,BAHIA,2019,Total,Ambos os sexos,25,Estimado em dados da saúde indígena,Provisório,2020,621,
9,BAHIA,2019,Total,Ambos os sexos,26,Estimado em dados da saúde indígena,Provisório,2020,607,
9,BAHIA,2019,Total,Ambos os sexos,27,Estimado em dados da saúde indígena,Provisório,2020,568,
9,BAHIA,2019,Total,Ambos os sexos,28,Estimado em dados da saúde indígena,Provisório,2020,572,
9,BAHIA,2019,Total,Ambos os sexos,29,Estimado em dados da saúde indígena,Provisório,2020,556,
9,BAHIA,2019,Total,Ambos os sexos,30,Estimado em dados da saúde indígena,Provisório,2020,564,
9,BAHIA,2019,Total,Ambos os sexos,31,Estimado em dados da saúde indígena,Provisório,2020,538,
9,BAHIA,2019,Total,Ambos os sexos,32,Estimado em dados da saúde indígena,Provisório,2020,499,
9,BAHIA,2019,Total,Ambos os sexos,33,Estimado em dados da saúde indígena,Provisório,2020,552,
9,BAHIA,2019,Total,Ambos os sexos,34,Estimado em dados da saúde indígena,Provisório,2020,589,
9,BAHIA,2019,Total,Ambos os sexos,35,Estimado em dados da saúde indígena,Provisório,2020,493,
9,BAHIA,2019,Total,Ambos os sexos,36,Estimado em dados da saúde indígena,Provisório,2020,449,
9,BAHIA,2019,Total,Ambos os sexos,37,Estimado em dados da saúde indígena,Provisório,2020,526,
9,BAHIA,2019,Total,Ambos os sexos,38,Estimado em dados da saúde indígena,Provisório,2020,469,
9,BAHIA,2019,Total,Ambos os sexos,39,Estimado em dados da saúde indígena,Provisório,2020,439,
9,BAHIA,2019,Total,Ambos os sexos,40,Estimado em dados da saúde indígena,Provisório,2020,447,
9,BAHIA,2019,Total,Ambos os sexos,41,Estimado em dados da saúde indígena,Provisório,2020,401,
9,BAHIA,2019,Total,Ambos os sexos,42,Estimado em dados da saúde indígena,Provisório,2020,411,
9,BAHIA,2019,Total,Ambos os sexos,43,Estimado em dados da saúde indígena,Provisório,2020,330,
9,BAHIA,2019,Total,Ambos os sexos,44,Estimado em dados da saúde indígena,Provisório,2020,381,
9,BAHIA,2019,Total,Ambos os sexos,45,Estimado em dados da saúde indígena,Provisório,2020,346,
9,BAHIA,2019,Total,Ambos os sexos,46,Estimado em dados da saúde indígena,Provisório,2020,318,
9,BAHIA,2019,Total,Ambos os sexos,47,Estimado em dados da saúde indígena,Provisório,2020,296,
9,BAHIA,2019,Total,Ambos os sexos,48,Estimado em dados da saúde indígena,Provisório,2020,254,
9,BAHIA,2019,Total,Ambos os sexos,49,Estimado em dados da saúde indígena,Provisório,2020,250,
9,BAHIA,2019,Total,Ambos os sexos,50,Estimado em dados da saúde indígena,Provisório,2020,266,
9,BAHIA,2019,Total,Ambos os sexos,51,Estimado em dados da saúde indígena,Provisório,2020,280,
9,BAHIA,2019,Total,Ambos os sexos,52,Estimado em dados da saúde indígena,Provisório,2020,258,
9,BAHIA,2019,Total,Ambos os sexos,53,Estimado em dados da saúde indígena,Provisório,2020,227,
9,BAHIA,2019,Total,Ambos os sexos,54,Estimado em dados da saúde indígena,Provisório,2020,219,
9,BAHIA,2019,Total,Ambos os sexos,55,Estimado em dados da saúde indígena,Provisório,2020,211,
9,BAHIA,2019,Total,Ambos os sexos,56,Estimado em dados da saúde indígena,Provisório,2020,259,
9,BAHIA,2019,Total,Ambos os sexos,57,Estimado em dados da saúde indígena,Provisório,2020,223,
9,BAHIA,2019,Total,Ambos os sexos,58,Estimado em dados da saúde indígena,Provisório,2020,190,
9,BAHIA,2019,Total,Ambos os sexos,59,Estimado em dados da saúde indígena,Provisório,2020,210,
9,BAHIA,2019,Total,Ambos os sexos,60,Estimado em dados da saúde indígena,Provisório,2020,187,
9,BAHIA,2019,Total,Ambos os sexos,61,Estimado em dados da saúde indígena,Provisório,2020,169,
9,BAHIA,2019,Total,Ambos os sexos,62,Estimado em dados da saúde indígena,Provisório,2020,166,
9,BAHIA,2019,Total,Ambos os sexos,63,Estimado em dados da saúde indígena,Provisório,2020,120,
9,BAHIA,2019,Total,Ambos os sexos,64,Estimado em dados da saúde indígena,Provisório,2020,153,
9,BAHIA,2019,Total,Ambos os sexos,65,Estimado em dados da saúde indígena,Provisório,2020,165,
9,BAHIA,2019,Total,Ambos os sexos,66,Estimado em dados da saúde indígena,Provisório,2020,149,
9,BAHIA,2019,Total,Ambos os sexos,67,Estimado em dados da saúde indígena,Provisório,2020,127,
9,BAHIA,2019,Total,Ambos os sexos,68,Estimado em dados da saúde indígena,Provisório,2020,136,
9,BAHIA,2019,Total,Ambos os sexos,69,Estimado em dados da saúde indígena,Provisório,2020,143,
9,BAHIA,2019,Total,Ambos os sexos,70,Estimado em dados da saúde indígena,Provisório,2020,122,
9,BAHIA,2019,Total,Ambos os sexos,71,Estimado em dados da saúde indígena,Provisório,2020,98,
9,BAHIA,2019,Total,Ambos os sexos,72,Estimado em dados da saúde indígena,Provisório,2020,101,
9,BAHIA,2019,Total,Ambos os sexos,73,Estimado em dados da saúde indígena,Provisório,2020,101,
9,BAHIA,2019,Total,Ambos os sexos,74,Estimado em dados da saúde indígena,Provisório,2020,79,
9,BAHIA,2019,Total,Ambos os sexos,75,Estimado em dados da saúde indígena,Provisório,2020,84,
9,BAHIA,2019,Total,Ambos os sexos,76,Estimado em dados da saúde indígena,Provisório,2020,74,
9,BAHIA,2019,Total,Ambos os sexos,77,Estimado em dados da saúde indígena,Provisório,2020,79,
9,BAHIA,2019,Total,Ambos os sexos,78,Estimado em dados da saúde indígena,Provisório,2020,53,
9,BAHIA,2019,Total,Ambos os sexos,79,Estimado em dados da saúde indígena,Provisório,2020,65,
9,BAHIA,2019,Total,Ambos os sexos,80,Estimado em dados da saúde indígena,Provisório,2020,56,
9,BAHIA,2019,Total,Ambos os sexos,81,Estimado em dados da saúde indígena,Provisório,2020,53,
9,BAHIA,2019,Total,Ambos os sexos,82,Estimado em dados da saúde indígena,Provisório,2020,45,
9,BAHIA,2019,Total,Ambos os sexos,83,Estimado em dados da saúde indígena,Provisório,2020,54,
9,BAHIA,2019,Total,Ambos os sexos,84,Estimado em dados da saúde indígena,Provisório,2020,55,
9,BAHIA,2019,Total,Ambos os sexos,85,Estimado em dados da saúde indígena,Provisório,2020,29,
9,BAHIA,2019,Total,Ambos os sexos,86,Estimado em dados da saúde indígena,Provisório,2020,25,
9,BAHIA,2019,Total,Ambos os sexos,87,Estimado em dados da saúde indígena,Provisório,2020,35,
9,BAHIA,2019,Total,Ambos os sexos,88,Estimado em dados da saúde indígena,Provisório,2020,25,
9,BAHIA,2019,Total,Ambos os sexos,89,Estimado em dados da saúde indígena,Provisório,2020,31,
9,BAHIA,2019,Total,Ambos os sexos,90,Estimado em dados da saúde indígena,Provisório,2020,20,
9,BAHIA,2019,Total,Ambos os sexos,91,Estimado em dados da saúde indígena,Provisório,2020,17,
9,BAHIA,2019,Total,Ambos os sexos,92,Estimado em dados da saúde indígena,Provisório,2020,11,
9,BAHIA,2019,Total,Ambos os sexos,93,Estimado em dados da saúde indígena,Provisório,2020,8,
9,BAHIA,2019,Total,Ambos os sexos,94,Estimado em dados da saúde indígena,Provisório,2020,13,
9,BAHIA,2019,Total,Ambos os sexos,95,Estimado em dados da saúde indígena,Provisório,2020,8,
9,BAHIA,2019,Total,Ambos os sexos,96,Estimado em dados da saúde indígena,Provisório,2020,7,
9,BAHIA,2019,Total,Ambos os sexos,97,Estimado em dados da saúde indígena,Provisório,2020,4,
9,BAHIA,2019,Total,Ambos os sexos,98,Estimado em dados da saúde indígena,Provisório,2020,3,
9,BAHIA,2019,Total,Ambos os sexos,99,Estimado em dados da saúde indígena,Provisório,2020,5,
9,BAHIA,2019,Total,Ambos os sexos,100,Estimado em dados da saúde indígena,Provisório,2020,2,
9,BAHIA,2019,Total,Ambos os sexos,101,Estimado em dados da saúde indígena,Provisório,2020,9,
9,BAHIA,2019,Total,Ambos os sexos,102,Estimado em dados da saúde indígena,Provisório,2020,7,
9,BAHIA,2019,Total,Ambos os sexos,103,Estimado em dados da saúde indígena,Provisório,2020,1,
9,BAHIA,2019,Total,Ambos os sexos,105,Estimado em dados da saúde indígena,Provisório,2020,4,
9,BAHIA,2019,Total,Ambos os sexos,106,Estimado em dados da saúde indígena,Provisório,2020,1,
9,BAHIA,2019,Total,Ambos os sexos,107,Estimado em dados da saúde indígena,Provisório,2020,2,
9,BAHIA,2019,Total,Ambos os sexos,109,Estimado em dados da saúde indígena,Provisório,2020,4,
9,BAHIA,2019,Total,Ambos os sexos,110,Estimado em dados da saúde indígena,Provisório,2020,1,
9,BAHIA,2019,Total,Ambos os sexos,113,Estimado em dados da saúde indígena,Provisório,2020,1,
9,BAHIA,2019,Total,Ambos os sexos,114,Estimado em dados da saúde indígena,Provisório,2020,1,
10,CEARÁ,2019,Total,Ambos os sexos,0,Estimado em dados da saúde indígena,Provisório,2020,398,
10,CEARÁ,2019,Total,Ambos os sexos,1,Estimado em dados da saúde indígena,Provisório,2020,544,
10,CEARÁ,2019,Total,Ambos os sexos,2,Estimado em dados da saúde indígena,Provisório,2020,537,
10,CEARÁ,2019,Total,Ambos os sexos,3,Estimado em dados da saúde indígena,Provisório,2020,531,
10,CEARÁ,2019,Total,Ambos os sexos,4,Estimado em dados da saúde indígena,Provisório,2020,551,
10,CEARÁ,2019,Total,Ambos os sexos,5,Estimado em dados da saúde indígena,Provisório,2020,554,
10,CEARÁ,2019,Total,Ambos os sexos,6,Estimado em dados da saúde indígena,Provisório,2020,516,
10,CEARÁ,2019,Total,Ambos os sexos,7,Estimado em dados da saúde indígena,Provisório,2020,463,
10,CEARÁ,2019,Total,Ambos os sexos,8,Estimado em dados da saúde indígena,Provisório,2020,488,
10,CEARÁ,2019,Total,Ambos os sexos,9,Estimado em dados da saúde indígena,Provisório,2020,506,
10,CEARÁ,2019,Total,Ambos os sexos,10,Estimado em dados da saúde indígena,Provisório,2020,483,
10,CEARÁ,2019,Total,Ambos os sexos,11,Estimado em dados da saúde indígena,Provisório,2020,442,
10,CEARÁ,2019,Total,Ambos os sexos,12,Estimado em dados da saúde indígena,Provisório,2020,485,
10,CEARÁ,2019,Total,Ambos os sexos,13,Estimado em dados da saúde indígena,Provisório,2020,537,
10,CEARÁ,2019,Total,Ambos os sexos,14,Estimado em dados da saúde indígena,Provisório,2020,541,
10,CEARÁ,2019,Total,Ambos os sexos,15,Estimado em dados da saúde indígena,Provisório,2020,496,
10,CEARÁ,2019,Total,Ambos os sexos,16,Estimado em dados da saúde indígena,Provisório,2020,425,
10,CEARÁ,2019,Total,Ambos os sexos,17,Estimado em dados da saúde indígena,Provisório,2020,497,
10,CEARÁ,2019,Total,Ambos os sexos,18,Estimado em dados da saúde indígena,Provisório,2020,511,
10,CEARÁ,2019,Total,Ambos os sexos,19,Estimado em dados da saúde indígena,Provisório,2020,582,
10,CEARÁ,2019,Total,Ambos os sexos,20,Estimado em dados da saúde indígena,Provisório,2020,522,
10,CEARÁ,2019,Total,Ambos os sexos,21,Estimado em dados da saúde indígena,Provisório,2020,498,
10,CEARÁ,2019,Total,Ambos os sexos,22,Estimado em dados da saúde indígena,Provisório,2020,539,
10,CEARÁ,2019,Total,Ambos os sexos,23,Estimado em dados da saúde indígena,Provisório,2020,522,
10,CEARÁ,2019,Total,Ambos os sexos,24,Estimado em dados da saúde indígena,Provisório,2020,562,
10,CEARÁ,2019,Total,Ambos os sexos,25,Estimado em dados da saúde indígena,Provisório,2020,490,
10,CEARÁ,2019,Total,Ambos os sexos,26,Estimado em dados da saúde indígena,Provisório,2020,464,
10,CEARÁ,2019,Total,Ambos os sexos,27,Estimado em dados da saúde indígena,Provisório,2020,492,
10,CEARÁ,2019,Total,Ambos os sexos,28,Estimado em dados da saúde indígena,Provisório,2020,464,
10,CEARÁ,2019,Total,Ambos os sexos,29,Estimado em dados da saúde indígena,Provisório,2020,391,
10,CEARÁ,2019,Total,Ambos os sexos,30,Estimado em dados da saúde indígena,Provisório,2020,461,
10,CEARÁ,2019,Total,Ambos os sexos,31,Estimado em dados da saúde indígena,Provisório,2020,408,
10,CEARÁ,2019,Total,Ambos os sexos,32,Estimado em dados da saúde indígena,Provisório,2020,422,
10,CEARÁ,2019,Total,Ambos os sexos,33,Estimado em dados da saúde indígena,Provisório,2020,449,
10,CEARÁ,2019,Total,Ambos os sexos,34,Estimado em dados da saúde indígena,Provisório,2020,453,
10,CEARÁ,2019,Total,Ambos os sexos,35,Estimado em dados da saúde indígena,Provisório,2020,407,
10,CEARÁ,2019,Total,Ambos os sexos,36,Estimado em dados da saúde indígena,Provisório,2020,407,
10,CEARÁ,2019,Total,Ambos os sexos,37,Estimado em dados da saúde indígena,Provisório,2020,433,
10,CEARÁ,2019,Total,Ambos os sexos,38,Estimado em dados da saúde indígena,Provisório,2020,370,
10,CEARÁ,2019,Total,Ambos os sexos,39,Estimado em dados da saúde indígena,Provisório,2020,349,
10,CEARÁ,2019,Total,Ambos os sexos,40,Estimado em dados da saúde indígena,Provisório,2020,344,
10,CEARÁ,2019,Total,Ambos os sexos,41,Estimado em dados da saúde indígena,Provisório,2020,314,
10,CEARÁ,2019,Total,Ambos os sexos,42,Estimado em dados da saúde indígena,Provisório,2020,344,
10,CEARÁ,2019,Total,Ambos os sexos,43,Estimado em dados da saúde indígena,Provisório,2020,283,
10,CEARÁ,2019,Total,Ambos os sexos,44,Estimado em dados da saúde indígena,Provisório,2020,322,
10,CEARÁ,2019,Total,Ambos os sexos,45,Estimado em dados da saúde indígena,Provisório,2020,284,
10,CEARÁ,2019,Total,Ambos os sexos,46,Estimado em dados da saúde indígena,Provisório,2020,269,
10,CEARÁ,2019,Total,Ambos os sexos,47,Estimado em dados da saúde indígena,Provisório,2020,271,
10,CEARÁ,2019,Total,Ambos os sexos,48,Estimado em dados da saúde indígena,Provisório,2020,240,
